account_id,created_at,account_age_days
ACC_280389155857,2022-08-10 16:37:35,1480
ACC_b125f178d436,2021-11-15 12:07:01,1748
ACC_88fe7e5abf9c,2024-01-01 06:51:09,971
ACC_0d95406be8c2,2023-09-29 15:38:25,1065
ACC_cbfa619a88c8,2023-07-24 06:58:45,1132
ACC_48ff73924a0d,2022-11-06 07:52:54,1392
ACC_3b84db8ace86,2022-07-14 05:46:26,1507
ACC_c3956fde3241,2026-04-20 04:39:23,131
ACC_016b87982cfc,2022-05-26 21:48:32,1556
ACC_9badae99b8f2,2025-04-01 15:57:05,515
ACC_56c29bcf270c,2021-12-06 13:04:07,1727
ACC_072b11d26d8e,2021-11-30 09:01:18,1733
ACC_edcc347452c4,2022-06-16 21:36:13,1535
ACC_6467e69e5d0e,2023-07-10 02:00:32,1146
ACC_4439cdae5749,2023-08-22 15:38:01,1103
ACC_bc047be86e66,2025-12-16 21:12:05,256
ACC_894d3f3394ed,2021-11-20 05:50:43,1743
ACC_f94103e57971,2026-06-08 12:38:42,82
ACC_d7160c10d49e,2023-05-09 13:35:22,1208
ACC_526ad32d1552,2026-04-18 20:57:43,133
ACC_bee754509e29,2025-03-25 04:50:42,522
ACC_116bcbb972d7,2023-07-15 16:25:26,1141
ACC_02a3ccc96767,2025-06-25 10:38:02,430
ACC_3a5db3de2e12,2024-01-11 02:34:57,961
ACC_2949b4ff7b59,2021-09-18 23:45:45,1806
ACC_4b9b79a2254e,2023-01-07 20:14:28,1330
ACC_3ec98ca4fa27,2025-04-03 19:35:37,513
ACC_8346af0c8448,2024-07-21 22:05:51,769
ACC_b45c4fe91ab5,2024-01-10 02:46:08,962
ACC_7b1234883cf2,2022-12-25 20:34:19,1343
ACC_6a63e4597a6e,2023-06-29 18:08:15,1157
ACC_052491763c45,2024-07-10 13:29:19,780
ACC_d650632ba638,2022-07-13 08:31:50,1508
ACC_91a6c22d876f,2022-06-13 22:48:41,1538
ACC_f8076d4327a9,2024-11-22 04:36:47,645
ACC_04c6c5ca0e7c,2022-06-26 06:52:33,1525
ACC_f7e96e86a14d,2024-09-18 02:37:20,710
ACC_db63b0cac835,2024-08-02 10:22:39,757
ACC_42e349ec83f2,2023-11-29 15:17:06,1004
ACC_5745f882d20b,2022-01-11 19:04:46,1691
ACC_fb1e668112f9,2025-07-27 04:22:54,398
ACC_09a0f05170f9,2026-03-22 19:14:40,160
ACC_1494fac2934b,2022-09-21 14:53:35,1438
ACC_60e5421997a4,2024-11-17 20:44:57,650
ACC_e46242634796,2022-05-01 14:56:54,1581
ACC_881ee34ad8d7,2026-05-10 22:18:47,111
ACC_a020afc39442,2024-02-26 16:08:12,915
ACC_e8047fb4b874,2024-09-26 08:38:31,702
ACC_a7834e31dec2,2026-07-28 13:40:35,32
ACC_45e5c8c5f3fb,2023-04-19 05:15:22,1228
ACC_31b613e3f6da,2022-04-02 21:35:17,1610
ACC_183ceb808166,2022-01-19 04:05:37,1683
ACC_75856f741dd9,2023-08-07 20:30:24,1118
ACC_cd8ad342d85e,2024-02-14 21:30:36,927
ACC_458db2a442de,2022-05-04 16:54:03,1578
ACC_4a222d9294cf,2023-08-23 01:19:35,1102
ACC_ab7794576b20,2022-07-09 14:23:33,1512
ACC_486c32efb11f,2024-11-22 19:26:45,645
ACC_5f7d7d1ab816,2024-01-10 10:23:39,962
ACC_684b2aa10cb3,2025-07-08 11:54:09,417
ACC_3ad7439c5f2d,2024-10-06 07:02:20,692
ACC_d5cfc1368073,2023-01-17 03:32:54,1320
ACC_b942f5816096,2024-10-22 21:52:24,676
ACC_93576bd83603,2024-09-06 14:05:01,722
ACC_9227fa8872da,2023-06-11 17:09:22,1175
ACC_c49c1545f0dd,2023-12-07 06:29:20,996
ACC_d32c24b2dce1,2022-04-08 15:20:13,1604
ACC_cc6fb116f1aa,2023-02-12 12:12:08,1294
ACC_b34d8e5a6b96,2026-03-16 07:32:08,166
ACC_06c3de01cb6e,2023-09-29 09:36:20,1065
ACC_acc2fe19beed,2023-01-19 11:21:10,1318
ACC_56ec4848b4d4,2025-08-04 23:47:59,390
ACC_ec8e4fc355e4,2024-11-20 17:25:43,647
ACC_1501e95e2aea,2023-12-16 11:56:55,987
ACC_e2c728ceaa6d,2026-05-26 04:21:47,95
ACC_7fe044ed442a,2023-07-13 02:52:26,1143
ACC_fa6821e9a069,2024-06-02 07:27:11,818
ACC_aceac4e318b2,2022-02-19 14:12:56,1652
ACC_300e658cdb6c,2023-08-11 10:14:31,1114
ACC_a6031366ea80,2021-12-07 12:44:50,1726
ACC_a791d32fbe14,2024-05-05 21:03:51,846
ACC_ab74ccb1cd05,2025-01-27 04:11:41,579
ACC_831b2bb79787,2023-12-09 15:23:13,994
ACC_54348d6e4128,2022-03-23 10:33:36,1620
ACC_b997f3cfe9aa,2023-06-16 07:12:02,1170
ACC_5b223fd4e9c0,2026-06-26 23:11:23,64
ACC_f9a53fe02354,2024-05-03 11:15:49,848
ACC_79483757b1d6,2023-06-21 09:45:50,1165
ACC_700e15b85ab4,2025-11-27 20:33:39,275
ACC_e9aa54171234,2025-01-09 23:37:57,597
ACC_04b3bfb0fdcf,2025-07-25 09:39:14,400
ACC_4b6f4caa0c08,2022-11-16 16:27:28,1382
ACC_c116b18591dd,2023-11-30 18:04:37,1003
ACC_69b7657b6cd6,2022-11-06 14:46:17,1392
ACC_ec825df83955,2023-10-05 01:03:35,1059
ACC_c185a35088dd,2026-06-08 21:49:19,82
ACC_86b8a0604f1e,2026-03-31 08:14:22,151
ACC_dcad275b0a2d,2023-11-24 02:36:51,1009
ACC_acbf4ced3c16,2026-08-20 01:04:15,9
ACC_2106685bd4f9,2025-04-21 21:31:16,495
ACC_af8b376aa56d,2026-08-16 18:32:55,13
ACC_533c771fd6c0,2025-01-21 16:38:25,585
ACC_03cd0c8db129,2024-09-27 11:35:29,701
ACC_aa9f9994f35c,2023-07-12 04:55:15,1144
ACC_8e57f6c0a19b,2022-11-02 13:56:32,1396
ACC_bb2111a569e0,2025-12-29 20:12:50,243
ACC_e760a8ee2194,2025-11-10 02:23:17,292
ACC_4aa348a724e4,2022-06-08 05:52:37,1543
ACC_d3904743d099,2022-01-23 04:25:53,1679
ACC_c37cfd6e12bf,2022-08-05 11:12:43,1485
ACC_caa546186733,2022-12-17 15:51:17,1351
ACC_5f87e63fabc7,2023-01-08 20:18:08,1329
ACC_403d9f58f23b,2025-04-02 09:42:30,514
ACC_6868b184343c,2022-03-15 04:08:57,1628
ACC_c02537aaf442,2024-12-07 05:30:36,630
ACC_63923b6917a7,2024-11-27 10:46:34,640
ACC_abcaa9e90ebe,2025-08-22 23:30:32,372
ACC_84b50be960e6,2026-02-28 16:48:18,182
ACC_6b24e4144ac0,2023-10-19 21:58:30,1045
ACC_c505776b213b,2026-05-14 14:41:33,107
ACC_1f1802887b8d,2021-10-04 11:16:01,1790
ACC_6ca6abca070e,2022-08-20 16:46:36,1470
ACC_d4b7aff7fe64,2026-03-25 02:35:23,157
ACC_2eba7712941b,2023-12-06 19:06:28,997
ACC_06379d01efdf,2024-07-21 16:30:06,769
ACC_47aedbf8e170,2022-08-11 09:06:46,1479
ACC_2ebaca67e653,2024-02-27 16:08:08,914
ACC_105cad2e38e5,2025-05-11 13:37:37,475
ACC_2840ab2e23b3,2023-01-03 04:16:36,1334
ACC_21a9e33989dd,2025-07-09 11:16:18,416
ACC_9e8dfc586b45,2021-09-08 21:10:05,1816
ACC_539bd3d479a3,2023-11-26 02:53:26,1007
ACC_8e4d413039e4,2025-12-02 01:35:09,270
ACC_8913b3da4b49,2023-03-07 20:25:47,1271
ACC_006c9c2ff8b7,2025-12-24 02:40:09,248
ACC_b08cff93c516,2022-07-26 09:44:45,1495
ACC_0715e0bf4532,2024-03-14 00:50:10,898
ACC_189ece95e0ea,2025-12-24 01:16:05,248
ACC_130ba65486a8,2023-05-09 19:04:00,1208
ACC_f83d26732fea,2022-12-17 15:42:07,1351
ACC_638ca7173e35,2024-11-03 12:13:02,664
ACC_e61383f4c0e3,2023-01-13 17:08:57,1324
ACC_930d142619b6,2026-04-01 14:11:42,150
ACC_0bad21ce8899,2026-03-04 13:12:57,178
ACC_680b1f829a32,2021-08-31 13:49:25,1824
ACC_bff60932e08f,2024-06-01 22:00:27,819
ACC_3330cf890af4,2025-10-25 20:15:44,308
ACC_6fb31cd2b66f,2021-10-29 07:28:16,1765
ACC_0529a4714df5,2022-08-12 08:38:31,1478
ACC_7de2446ba62b,2024-09-30 12:59:15,698
ACC_c0877b32f3c9,2024-04-11 05:05:43,870
ACC_22570981c6fc,2023-09-12 18:02:19,1082
ACC_c2cadeb86489,2022-02-25 18:23:37,1646
ACC_128ab58c56c9,2023-09-17 03:52:02,1077
ACC_9c3c0389b714,2026-06-27 12:22:46,63
ACC_0a4fb57ba8fc,2022-05-01 11:43:52,1581
ACC_2ef92ba4a5ad,2022-05-22 21:57:50,1560
ACC_5afc1a6f1aa4,2025-10-17 17:15:18,316
ACC_12c8360d3919,2022-04-01 20:02:20,1611
ACC_e2ccd258b4d2,2026-03-11 20:37:50,171
ACC_a1a0809169ad,2022-09-24 12:33:49,1435
ACC_af2dadfa3560,2022-10-02 16:44:29,1427
ACC_78a7216e2bce,2025-09-14 10:48:09,349
ACC_3f7f991f099d,2026-05-03 23:30:27,118
ACC_0b4036e68156,2023-01-24 19:56:18,1313
ACC_39496d27a94a,2023-12-01 07:14:04,1002
ACC_dd35ac4a4ae1,2026-02-24 05:23:20,186
ACC_1a5930afbbc0,2025-04-05 10:37:53,511
ACC_eff9e8bac835,2023-06-18 19:59:54,1168
ACC_325018fa3001,2026-04-01 08:00:39,150
ACC_7c15bbf7dfa5,2023-05-16 18:05:25,1201
ACC_ff20dc3e909f,2024-04-24 06:25:53,857
ACC_9919af84c948,2025-01-20 10:12:07,586
ACC_417771369605,2024-11-01 23:25:51,666
ACC_30211aad3912,2025-05-21 22:17:22,465
ACC_14e9b371e78e,2026-01-23 20:25:55,218
ACC_05987e27cefc,2025-07-02 12:25:36,423
ACC_346f761b62f1,2022-09-09 17:54:25,1450
ACC_4446991e1d51,2023-10-09 00:21:45,1055
ACC_9266e21ec509,2023-07-28 21:49:40,1128
ACC_4a989bf6c2fb,2022-03-16 17:17:49,1627
