transaction_id,account_id,device_id,ip_address,card_fingerprint,transaction_amount,transaction_time,account_age_days,refund_rate,hour,day_of_week,transactions_last_1h,transactions_last_24h,historical_median_amount,has_amount_history,amount_deviation,accounts_per_device,accounts_per_ip,accounts_per_card,is_new_account,amount_vs_global_median,refund_risk,device_sharing_ratio,ip_sharing_ratio,is_fraud_ring,is_behavioral_anomaly,is_fraud,fraud_type,fraud_ring_id
TXN_ce9926a2239b,ACC_cd733e1ae6dd,DEV_cc8a1fe01245,218.116.123.171,CARD_1881cca7fb2b,397.43,1,1142,0.0509,1,0,0,0,,0,1.0,3,1,2,0,0.33878901022086966,0,0.1,0.1,False,False,False,normal,
TXN_bfff4bc45063,ACC_a1db96690ef5,DEV_c32469d82244,116.158.100.194,CARD_df523021f270,584.51,1,542,0.1684,1,0,0,0,,0,1.0,2,2,4,0,0.49826526523966613,0,0.1,0.1,False,False,False,normal,
TXN_831c8c17d8d6,ACC_6f4601d98ba4,DEV_0f6d5ec76c28,79.80.101.191,CARD_c89ffa9a31d6,2047.14,1,1053,0.1036,2,0,0,0,,0,1.0,2,3,4,0,1.7450834974298646,0,0.1,0.1,False,False,False,normal,
TXN_bb888959ffcb,ACC_c0e6c9770bb7,DEV_d1eaa25b5da3,222.227.90.202,CARD_a0e6c0daf498,980.76,1,1429,0.1655,3,0,0,0,,0,1.0,1,2,1,0,0.8360483850343963,0,0.1,0.1,False,False,False,normal,
TXN_a7f32614527d,ACC_e0c0f74bac05,DEV_d297037e66e7,81.125.67.20,CARD_5155b588068e,11552.62,1,1240,0.0491,4,0,0,0,,0,1.0,2,3,3,0,9.848025300701565,0,0.1,0.1,False,True,True,behavioral_anomaly,
TXN_227d00ef7ac9,ACC_006c9c2ff8b7,DEV_410dd927cfe8,209.171.116.249,CARD_f7203e6d8190,561.67,1,248,0.1156,5,0,0,0,,0,1.0,1,1,1,0,0.4787953183472708,0,0.1,0.1,False,False,False,normal,
TXN_5d3d922ef874,ACC_f1a5c4399297,DEV_bd7d59f2d10e,194.204.125.143,CARD_f345711ee917,3407.73,1,350,0.1671,5,0,0,0,,0,1.0,2,4,4,0,2.9049177812444054,0,0.1,0.1,False,False,False,normal,
TXN_60bf216e3929,ACC_64d792b01fc9,RING_DEVICE_005,211.196.178.183,CARD_bc6a94732e07,9579.71,0,1141,0.286,14,0,0,0,,0,1.0,6,3,3,0,8.166219130671983,0,0.1,0.1,True,False,True,fraud_ring,RING_005
TXN_24f8f54a61fa,ACC_87d90291de51,DEV_461800d2ebdb,149.5.194.133,CARD_2bf4246ccc0e,673.23,0,1161,0.042,18,0,0,0,,0,1.0,3,2,1,0,0.5738945860931386,0,0.1,0.1,False,False,False,normal,
TXN_d076e9952bad,ACC_fe1d2301e36e,DEV_b3ed751f4523,96.120.72.130,CARD_30d4c88309b5,738.8,0,1591,0.1092,18,0,0,0,,0,1.0,2,1,1,0,0.6297897007049756,0,0.1,0.1,False,False,False,normal,
TXN_ba7a1f99eade,ACC_e5f0b15ea621,DEV_844f91436afc,163.120.230.81,CARD_fd82bf241176,506.32,0,1648,0.1202,19,0,0,0,,0,1.0,1,1,2,0,0.4316122377652183,0,0.1,0.1,False,False,False,normal,
TXN_030f6e6865b9,ACC_8d3d9215e543,DEV_e0495588ab8c,167.126.73.12,CARD_8b12283f4638,2639.11,0,1050,0.176,21,0,0,0,,0,1.0,2,2,2,0,2.2497080360415653,0,0.1,0.1,False,False,False,normal,
TXN_22f7f381eef6,ACC_8af374719af8,DEV_6c43d2f6a0d9,156.204.97.210,CARD_9e7b35d48c25,818.13,0,1313,0.0448,22,0,0,0,,0,1.0,2,1,2,0,0.6974145206250159,0,0.1,0.1,False,False,False,normal,
TXN_2d95370db140,ACC_9db241f76d11,DEV_c13d78b629d4,107.4.4.19,CARD_e999fb0b909a,1464.37,1,1688,0.0551,2,1,0,0,,0,1.0,3,1,4,0,1.2483014943439972,0,0.1,0.1,False,False,False,normal,
TXN_9115e9923a63,ACC_3a879ebe3e74,DEV_461800d2ebdb,206.80.212.15,RING_CARD_003,4690.67,1,1714,0.3819,2,1,0,0,,0,1.0,3,3,10,0,3.9985593603218845,0,0.1,0.1,True,False,True,fraud_ring,RING_003
TXN_c306fdaf9830,ACC_1673de95c0ef,DEV_e17d7efd33fa,168.224.88.48,CARD_5251cc88625a,1018.74,1,874,0.055,3,1,0,0,,0,1.0,1,2,1,0,0.8684244175638697,0,0.1,0.1,False,False,False,normal,
TXN_ba0dec7c9aa9,ACC_1c692c82628d,DEV_afce6516743f,149.5.194.133,CARD_83fa66774597,1926.91,1,1045,0.0223,4,1,0,0,,0,1.0,1,2,3,0,1.6425934924004124,0,0.1,0.1,False,False,False,normal,
TXN_c976bc0f23b5,ACC_ff28371a71ce,DEV_cc8a1fe01245,90.83.94.192,CARD_4fda1b4b982c,877.29,1,37,0.0862,4,1,0,0,,0,1.0,3,2,2,0,0.7478454338541799,0,0.1,0.1,False,False,False,normal,
TXN_b71bc90d3b38,ACC_dbf4bf29527d,DEV_c20344bc8b99,111.231.231.65,CARD_1a033c3ff65d,2244.26,1,629,0.1052,5,1,0,0,,0,1.0,1,1,2,0,1.9131183455659837,0,0.1,0.1,False,False,False,normal,
TXN_2c11d42dfb27,ACC_9aeb0758705c,DEV_0f4ab420592a,21.175.52.90,CARD_befb4f0acc29,1509.36,0,1714,0.0646,8,1,0,0,,0,1.0,1,2,4,0,1.2866531979643503,0,0.1,0.1,False,False,False,normal,
TXN_6007fb4d4143,ACC_9266e21ec509,DEV_242f06e35a2d,118.104.62.16,CARD_89610864d8bb,18203.74,0,1128,0.1244,13,1,0,0,,0,1.0,2,2,3,0,15.517769310112609,0,0.1,0.1,False,True,True,behavioral_anomaly,
TXN_ef94f2c80caa,ACC_e1ba5e91a2de,DEV_52a26c20346a,116.16.74.139,CARD_9f81ba0d4d20,934.38,0,1592,0.0633,14,1,0,0,,0,1.0,2,1,2,0,0.7965117765900314,0,0.1,0.1,False,False,False,normal,
TXN_b0c5e24f7771,ACC_09608149d7a8,DEV_a1ad83e90247,78.207.206.0,CARD_5d69f1fda3eb,1403.53,0,1338,0.1611,21,1,0,0,,0,1.0,2,3,1,0,1.196438465931855,0,0.1,0.1,False,False,False,normal,
TXN_999a94d09bc1,ACC_aa53e07c0ec2,DEV_de9613a8b12f,119.155.166.48,CARD_78e8a1b9efb0,818.15,0,1822,0.0233,22,1,0,0,,0,1.0,1,2,1,0,0.6974315696152894,0,0.1,0.1,False,False,False,normal,
TXN_83ca7b74ff13,ACC_edb28b2c535b,DEV_3b9d763ec880,7.0.223.222,CARD_2e07cae0c55d,3393.57,1,161,0.1177,2,2,0,0,,0,1.0,2,1,1,0,2.8928470961307315,0,0.1,0.1,False,False,False,normal,
TXN_011399364b5b,ACC_b107f18dd9f1,DEV_8a71ee0c7705,159.111.210.240,CARD_5aae1fc3d0fc,765.0,1,1736,0.174,3,2,0,0,,0,1.0,2,1,1,0,0.6521238779633275,0,0.1,0.1,False,False,False,normal,
TXN_5979103ba5b6,ACC_1673de95c0ef,DEV_e17d7efd33fa,168.224.88.48,CARD_5251cc88625a,1194.53,1,874,0.023,3,2,0,0,1018.74,1,1.1725562950311168,1,2,1,0,1.0182765175732467,0,0.1,0.1,False,False,False,normal,
TXN_2f92e0dd06d1,ACC_ff28371a71ce,DEV_cc8a1fe01245,90.83.94.192,CARD_4fda1b4b982c,2304.08,1,37,0.1547,4,2,0,0,948.015,1,2.4304256789185823,3,2,2,0,1.9641118754741747,0,0.1,0.1,False,False,False,normal,
TXN_9c38f8b9d03c,ACC_dbf4bf29527d,DEV_c20344bc8b99,111.231.231.65,CARD_1a033c3ff65d,1509.9,1,629,0.0534,5,2,0,0,1018.74,1,1.4821249779138936,1,1,2,0,1.2871135207017363,0,0.1,0.1,False,False,False,normal,
TXN_6b5748847930,ACC_1b10fd609d73,DEV_2027db32c5dd,40.210.209.88,CARD_93644489a89a,1325.61,0,1144,0.104,7,2,0,0,1018.74,1,1.3012250426998055,5,3,4,0,1.1300155998261001,0,0.1,0.1,False,False,False,normal,
TXN_8777499533a0,ACC_f041b2d0cbc8,DEV_57fffa41b331,91.209.188.108,CARD_2db0fdab07ba,798.55,0,1100,0.1581,12,2,0,0,1018.74,1,0.7838604550719516,2,3,3,0,0.6807235591472094,0,0.1,0.1,False,False,False,normal,
TXN_cfe925cfebb6,ACC_01cb9dc58f3e,DEV_c76798b27d4c,12.92.69.163,CARD_122b528afb26,628.52,0,1002,0.0957,14,2,0,0,1018.74,1,0.6169582032707069,1,3,2,0,0.5357815683366152,0,0.1,0.1,False,False,False,normal,
TXN_adda8f969b92,ACC_e1ba5e91a2de,DEV_52a26c20346a,116.16.74.139,CARD_9f81ba0d4d20,245.68,0,1592,0.0341,14,2,0,0,976.56,1,0.25157696403702795,2,1,2,0,0.20942979652030105,0,0.1,0.1,False,False,False,normal,
TXN_db35ead2fc17,ACC_ce86e24a88e2,DEV_a498fab0bf8d,202.235.89.4,CARD_2ebbe3f1e060,3621.57,0,1542,0.1797,17,2,0,0,976.56,1,3.708497173752765,2,2,3,0,3.0872055852492135,0,0.1,0.1,False,False,False,normal,
TXN_07680791064d,ACC_bb6ca995c376,DEV_b4d61d8c369a,93.74.159.73,CARD_b93facb491f5,230.72,0,1469,0.1554,20,2,0,0,976.56,1,0.23625788482018514,2,2,1,0,0.19667715179568487,0,0.1,0.1,False,False,False,normal,
TXN_2ce84e0f93dc,ACC_524438700718,DEV_069d2a0d0fc1,104.203.211.192,CARD_80643d1081a4,1460.06,0,519,0.1773,20,2,0,0,976.56,1,1.4951052674694847,3,4,1,0,1.244627436940047,0,0.1,0.1,False,False,False,normal,
TXN_25f45db57a35,ACC_0bc6160e5578,DEV_d602d7dcc0db,140.78.14.93,CARD_5c8ed11505a1,939.62,0,1788,0.1024,20,2,0,0,976.56,1,0.9621733431637586,3,4,1,0,0.8009786120417017,0,0.1,0.1,False,False,False,normal,
TXN_4304a7c25d7a,ACC_787fc22898c5,DEV_8a32ae96da80,68.77.141.41,CARD_85f0593994fd,1282.64,1,1560,0.0902,0,3,0,0,976.56,1,1.3134267223724094,2,1,3,0,1.093385844223376,0,0.1,0.1,False,False,False,normal,
TXN_15fcdbda2b83,ACC_a1db96690ef5,DEV_c32469d82244,116.158.100.194,CARD_df523021f270,759.3,1,542,0.1238,1,3,0,0,934.38,1,0.8126244140499582,2,2,4,0,0.6472649157353655,0,0.1,0.1,False,False,False,normal,
TXN_c338205bbfee,ACC_91a6c22d876f,DEV_bcdc04aaca2b,154.187.127.113,CARD_a35ccd170671,1931.85,1,1538,0.0767,3,3,0,0,934.38,1,2.0675207089192833,1,2,2,0,1.6468045929979793,0,0.1,0.1,False,False,False,normal,
TXN_38eff4c58fcc,ACC_a4695590abdb,DEV_6c4986c35cf8,146.225.229.103,CARD_fe573ae73b40,937.59,1,837,0.1718,3,3,0,0,934.38,1,1.0034354331214281,3,2,2,0,0.7992481395289364,0,0.1,0.1,False,False,False,normal,
TXN_3a12d1d4b483,ACC_dbf4bf29527d,DEV_c20344bc8b99,111.231.231.65,CARD_1a033c3ff65d,2202.62,1,629,0.0181,5,3,0,0,976.56,1,2.2554886540509544,1,1,2,0,1.8776223478164502,0,0.1,0.1,False,False,False,normal,
TXN_c4dac1c110c2,ACC_7ba677b277d5,DEV_4846b75c6602,202.142.217.237,CARD_a9e36a40b7ed,3274.36,0,298,0.0846,8,3,0,0,976.56,1,3.352953223560253,2,4,3,0,2.7912265896052304,0,0.1,0.1,False,False,False,normal,
TXN_a6bdbda80808,ACC_72de5c765785,DEV_97f2797bedbc,56.76.232.211,CARD_1bf48c0b1d96,2037.45,0,1146,0.0717,10,3,0,0,976.56,1,2.086354141066601,4,3,3,0,1.7368232616423291,0,0.1,0.1,False,False,False,normal,
TXN_e1899ed6fca0,ACC_9266e21ec509,DEV_242f06e35a2d,118.104.62.16,CARD_89610864d8bb,11419.62,0,1128,0.1501,13,3,0,0,1018.74,1,11.209552977207139,2,2,3,0,9.73464951538245,0,0.1,0.1,False,True,True,behavioral_anomaly,
TXN_dad839fa4e33,ACC_8b2df67f2246,DEV_034989be04dd,45.157.131.57,CARD_76ef86e4ce6c,823.07,0,849,0.0677,16,3,0,0,1018.74,1,0.8079294029880049,1,2,1,0,0.7016256212225831,0,0.1,0.1,False,False,False,normal,
TXN_9a557c3141a9,ACC_0bc6160e5578,DEV_d602d7dcc0db,140.78.14.93,CARD_5c8ed11505a1,806.32,0,1788,0.0569,20,3,0,0,979.1800000000001,1,0.8234645315468044,3,4,1,0,0.6873470918684841,0,0.1,0.1,False,False,False,normal,
TXN_744b2b0379f6,ACC_3064bc9d97b1,DEV_ab30293d418d,179.55.169.242,CARD_746c8bcac98d,1123.75,0,109,0.0745,20,3,0,0,979.1800000000001,1,1.147643946976041,3,2,2,0,0.9579401409951495,0,0.1,0.1,False,False,False,normal,
TXN_d769e6998df6,ACC_09608149d7a8,DEV_a1ad83e90247,78.207.206.0,CARD_5d69f1fda3eb,636.81,0,1338,0.0823,21,3,0,0,1018.74,1,0.6250957064609223,2,3,1,0,0.542848374805002,0,0.1,0.1,False,False,False,normal,
TXN_b9e87e75470d,ACC_8fdb41e6b1e5,DEV_bc6bedae2333,191.83.81.222,CARD_64e914a4a2e0,3260.63,0,55,0.0993,21,3,0,0,1018.74,1,3.2006498223295443,3,2,2,0,2.779522457782438,0,0.1,0.1,False,False,False,normal,
TXN_89baeecb07eb,ACC_aa53e07c0ec2,DEV_de9613a8b12f,119.155.166.48,CARD_78e8a1b9efb0,297.08,0,1822,0.0707,22,3,0,0,979.1800000000001,1,0.3033967197042423,1,2,1,0,0.25324570152332726,0,0.1,0.1,False,False,False,normal,
TXN_565ab3a01bf2,ACC_d7160c10d49e,DEV_924771f4665d,56.79.75.122,CARD_9b3022525c9f,1081.84,1,1208,0.0732,0,4,0,0,979.1800000000001,1,1.1048428276721336,2,2,3,0,0.9222139818769232,0,0.1,0.1,False,False,False,normal,
TXN_dd2ccb6f224a,ACC_3a879ebe3e74,DEV_461800d2ebdb,206.80.212.15,RING_CARD_003,9352.03,1,1714,0.5487,2,4,0,0,1018.74,1,9.179996858864873,3,3,10,0,7.97213342539788,1,0.1,0.1,True,False,True,fraud_ring,RING_003
TXN_0294df2a619d,ACC_8dd369d073d0,DEV_1c859d2d6301,17.216.250.204,CARD_c74ea1dd681c,4996.4,1,1782,0.0255,3,4,0,0,1018.74,1,4.9044898600231654,2,1,2,0,4.259178750138522,0,0.1,0.1,False,False,False,normal,
TXN_2dd9845b17db,ACC_1e80d6de3b6d,DEV_b7aeb93bfd24,76.230.221.234,CARD_9ef378ce8fca,1130.07,0,648,0.1014,6,4,0,0,1018.74,1,1.1092820543023734,4,1,1,0,0.9633276219215915,0,0.1,0.1,False,False,False,normal,
TXN_dea0ed5edc8e,ACC_437436064d39,DEV_5150170defca,155.87.65.29,CARD_b071d7b7c2e8,896.79,0,1599,0.1564,6,4,0,0,1018.74,1,0.8802933034925495,2,2,2,0,0.7644681993708922,0,0.1,0.1,False,False,False,normal,
TXN_769dddd964b9,ACC_1b10fd609d73,DEV_2027db32c5dd,40.210.209.88,CARD_93644489a89a,1260.38,0,1144,0.1745,7,4,0,0,1172.175,1,1.0752490029219188,5,3,4,0,1.0744103180489135,0,0.1,0.1,False,False,False,normal,
TXN_fa5705cffb91,ACC_9aeb0758705c,DEV_0f4ab420592a,21.175.52.90,CARD_befb4f0acc29,944.92,0,1714,0.0529,8,4,0,0,1325.61,1,0.7128190040811401,1,2,4,0,0.8054965944641927,0,0.1,0.1,False,False,False,normal,
TXN_0a8c85f6606d,ACC_72de5c765785,DEV_97f2797bedbc,56.76.232.211,CARD_1bf48c0b1d96,902.42,0,1146,0.1718,10,4,0,0,1364.57,1,0.6613218816183852,4,3,3,0,0.7692674901328967,0,0.1,0.1,False,False,False,normal,
TXN_88e685d1c835,ACC_dd70e3f51632,DEV_13129d3b4ef3,23.79.209.194,CARD_1f185565089b,2784.61,0,459,0.1553,11,4,0,0,1364.57,1,2.0406501681848495,2,3,1,0,2.373739440281649,0,0.1,0.1,False,False,False,normal,
TXN_bddc8db75c8e,ACC_417771369605,DEV_b8ef43015e59,181.158.215.238,CARD_1c61ea2ca3ed,409.77,0,666,0.0954,11,4,0,0,1364.57,1,0.3002923998036011,4,3,2,0,0.3493082372196506,0,0.1,0.1,False,False,False,normal,
TXN_0c96960ff27e,ACC_b6363398f1ae,DEV_02e67b169522,77.196.188.180,CARD_5838cdf55252,1204.43,0,633,0.1699,11,4,0,0,1364.57,1,0.8826443495020411,6,3,1,0,1.0267157677586545,0,0.1,0.1,False,False,False,normal,
TXN_ded5e77c5332,ACC_9919af84c948,DEV_13fd07e9929c,12.92.69.163,CARD_0e91f2c280a3,2329.47,0,586,0.1485,16,4,0,0,1364.57,1,1.7071091992349237,1,3,1,0,1.9857555686264476,0,0.1,0.1,False,False,False,normal,
TXN_341494fa273b,ACC_66e3bf8abf60,RING_DEVICE_004,10.250.4.1,RING_CARD_004,7829.34,0,957,0.2558,18,4,0,0,1364.57,1,5.737587664978712,4,4,4,0,6.674117075416207,0,0.1,0.1,True,False,True,fraud_ring,RING_004
TXN_70828d40bf3a,ACC_524438700718,DEV_069d2a0d0fc1,104.203.211.192,CARD_80643d1081a4,781.62,0,519,0.0134,20,4,0,0,1403.53,1,0.5568958269506173,3,4,1,0,0.6662915888806484,0,0.1,0.1,False,False,False,normal,
TXN_63cc0104442d,ACC_0620b570317c,DEV_87774b52522e,62.236.209.30,CARD_e999fb0b909a,582.84,0,1432,0.1348,21,4,0,0,1403.53,1,0.4152672190833114,2,3,4,0,0.49684167455182465,0,0.1,0.1,False,False,False,normal,
TXN_52f44134ea61,ACC_1a494e3c1b9b,DEV_bc0d0c8f071e,162.222.70.233,CARD_772f39cc23fa,756.24,1,1533,0.0793,0,5,0,0,1403.53,1,0.5388128504556369,1,1,3,0,0.6446564202235122,0,0.1,0.1,False,False,False,normal,
TXN_4563cb12e8c9,ACC_6f4601d98ba4,DEV_0f6d5ec76c28,79.80.101.191,CARD_c89ffa9a31d6,1481.21,1,1053,0.036,2,5,0,0,1431.795,1,1.0345126222678525,2,3,4,0,1.2626567441543273,0,0.1,0.1,False,False,False,normal,
TXN_cbf66e45c325,ACC_1df74aaca630,DEV_561105160885,50.45.216.245,CARD_f345711ee917,1095.04,1,964,0.0673,2,5,0,0,1431.795,1,0.7648022237820358,3,1,4,0,0.9334663154574668,0,0.1,0.1,False,False,False,normal,
TXN_044ac08520cb,ACC_91a6c22d876f,DEV_bcdc04aaca2b,154.187.127.113,CARD_a35ccd170671,887.21,1,1538,0.1488,3,5,0,0,1460.06,1,0.6076531101461584,1,2,2,0,0.7563017330298613,0,0.1,0.1,False,False,False,normal,
TXN_963929420b34,ACC_dbf4bf29527d,DEV_c20344bc8b99,111.231.231.65,CARD_1a033c3ff65d,629.73,1,629,0.0473,5,5,0,0,1484.71,1,0.4241434354183645,1,1,2,0,0.536813032248165,0,0.1,0.1,False,False,False,normal,
TXN_1cb8276dfbbb,ACC_261b16739af3,DEV_72bc9fb9c9c7,189.101.171.97,CARD_bd2719b46f7b,911.29,0,1504,0.0944,7,5,0,0,1484.71,1,0.6137831630419408,2,2,1,0,0.7768287173192167,0,0.1,0.1,False,False,False,normal,
