transaction_id,account_id,device_id,ip_address,card_fingerprint,transaction_amount,transaction_time,account_age_days,refund_rate
TXN_563eba15a6a2,ACC_280389155857,DEV_fecf2d7892a4,29.196.49.97,CARD_c95e21651020,1514.54,2026-07-25 22:02:27,1480,0.1344
TXN_374bc470f573,ACC_280389155857,DEV_fecf2d7892a4,29.196.49.97,CARD_c95e21651020,1002.38,2026-07-28 22:02:27,1480,0.1118
TXN_4130d9a16d8d,ACC_280389155857,DEV_fecf2d7892a4,29.196.49.97,CARD_c95e21651020,941.81,2026-07-31 22:02:27,1480,0.0199
TXN_ceabfa9df97c,ACC_280389155857,DEV_fecf2d7892a4,29.196.49.97,CARD_c95e21651020,941.82,2026-08-08 22:02:27,1480,0.1572
TXN_a7284b0c640a,ACC_280389155857,DEV_fecf2d7892a4,29.196.49.97,CARD_c95e21651020,3060.97,2026-08-14 22:02:27,1480,0.0135
TXN_a3ce76c5f067,ACC_280389155857,DEV_fecf2d7892a4,29.196.49.97,CARD_c95e21651020,1805.93,2026-08-18 22:02:27,1480,0.1749
TXN_24cebc4483b0,ACC_280389155857,DEV_fecf2d7892a4,29.196.49.97,CARD_c95e21651020,808.23,2026-08-19 22:02:27,1480,0.0409
TXN_6b9789eab63c,ACC_280389155857,DEV_fecf2d7892a4,29.196.49.97,CARD_c95e21651020,1560.35,2026-08-24 22:02:27,1480,0.0412
TXN_7918d303640d,ACC_280389155857,DEV_fecf2d7892a4,29.196.49.97,CARD_c95e21651020,1283.41,2026-08-31 22:02:27,1480,0.0834
TXN_265997ea5843,ACC_280389155857,DEV_fecf2d7892a4,29.196.49.97,CARD_c95e21651020,316.2,2026-09-04 22:02:27,1480,0.0595
TXN_0f5538fa32c5,ACC_b125f178d436,DEV_83ef41c0e835,143.123.234.18,CARD_8b12283f4638,567.74,2026-08-12 02:10:22,1748,0.0597
TXN_67619d3d81ac,ACC_b125f178d436,DEV_83ef41c0e835,143.123.234.18,CARD_8b12283f4638,1345.15,2026-08-20 02:10:22,1748,0.0723
TXN_f4485c203577,ACC_b125f178d436,DEV_83ef41c0e835,143.123.234.18,CARD_8b12283f4638,2843.16,2026-08-25 02:10:22,1748,0.0439
TXN_d4eb4fc2c19e,ACC_b125f178d436,DEV_83ef41c0e835,143.123.234.18,CARD_8b12283f4638,946.95,2026-08-31 02:10:22,1748,0.0974
TXN_46be53b74501,ACC_b125f178d436,DEV_83ef41c0e835,143.123.234.18,CARD_8b12283f4638,769.82,2026-09-05 02:10:22,1748,0.1133
TXN_1e6a2b6b08da,ACC_b125f178d436,DEV_83ef41c0e835,143.123.234.18,CARD_8b12283f4638,1178.62,2026-09-15 02:10:22,1748,0.039
TXN_b58b692b3f04,ACC_b125f178d436,DEV_83ef41c0e835,143.123.234.18,CARD_8b12283f4638,742.17,2026-09-25 02:10:22,1748,0.1263
TXN_26998a847304,ACC_b125f178d436,DEV_83ef41c0e835,143.123.234.18,CARD_8b12283f4638,907.23,2026-09-26 02:10:22,1748,0.0848
TXN_1c7fbccb94d3,ACC_b125f178d436,DEV_83ef41c0e835,143.123.234.18,CARD_8b12283f4638,1087.05,2026-10-01 02:10:22,1748,0.0158
TXN_ea398a218bd4,ACC_b125f178d436,DEV_83ef41c0e835,143.123.234.18,CARD_8b12283f4638,551.42,2026-10-07 02:10:22,1748,0.1646
TXN_601f1207c87b,ACC_88fe7e5abf9c,DEV_bcc978db2b46,219.59.149.122,CARD_353d46d70762,1871.8,2026-08-15 00:08:47,971,0.063
TXN_e382d6745f30,ACC_88fe7e5abf9c,DEV_bcc978db2b46,219.59.149.122,CARD_353d46d70762,495.94,2026-08-19 00:08:47,971,0.0984
TXN_16857024dad6,ACC_88fe7e5abf9c,DEV_bcc978db2b46,219.59.149.122,CARD_353d46d70762,462.52,2026-08-20 00:08:47,971,0.1748
TXN_01d09bc437e8,ACC_88fe7e5abf9c,DEV_bcc978db2b46,219.59.149.122,CARD_353d46d70762,1246.33,2026-08-22 00:08:47,971,0.1418
TXN_eb4c7a1b0ded,ACC_88fe7e5abf9c,DEV_bcc978db2b46,219.59.149.122,CARD_353d46d70762,1772.25,2026-08-30 00:08:47,971,0.025
TXN_1c1d2edf06c6,ACC_88fe7e5abf9c,DEV_bcc978db2b46,219.59.149.122,CARD_353d46d70762,1225.85,2026-09-04 00:08:47,971,0.0433
TXN_2279ec05cf54,ACC_88fe7e5abf9c,DEV_bcc978db2b46,219.59.149.122,CARD_353d46d70762,1017.22,2026-09-07 00:08:47,971,0.0761
TXN_c2ff1368b76f,ACC_88fe7e5abf9c,DEV_bcc978db2b46,219.59.149.122,CARD_353d46d70762,901.7,2026-09-14 00:08:47,971,0.0561
TXN_d9c8ca1ff139,ACC_88fe7e5abf9c,DEV_bcc978db2b46,219.59.149.122,CARD_353d46d70762,812.88,2026-09-23 00:08:47,971,0.0578
TXN_a8642ff98aaf,ACC_88fe7e5abf9c,DEV_bcc978db2b46,219.59.149.122,CARD_353d46d70762,2180.11,2026-09-28 00:08:47,971,0.1023
TXN_e55c93d54b40,ACC_0d95406be8c2,DEV_ccc8736250e7,37.244.195.204,CARD_c8c40d2eb6a5,1353.78,2026-08-14 08:42:06,1065,0.0227
TXN_51aaffcef988,ACC_0d95406be8c2,DEV_ccc8736250e7,37.244.195.204,CARD_c8c40d2eb6a5,853.8,2026-08-16 08:42:06,1065,0.1778
TXN_ae48a52170c3,ACC_0d95406be8c2,DEV_ccc8736250e7,37.244.195.204,CARD_c8c40d2eb6a5,706.27,2026-08-21 08:42:06,1065,0.0109
TXN_009e3d666086,ACC_0d95406be8c2,DEV_ccc8736250e7,37.244.195.204,CARD_c8c40d2eb6a5,1632.05,2026-08-27 08:42:06,1065,0.1486
TXN_fd19b6192b29,ACC_0d95406be8c2,DEV_ccc8736250e7,37.244.195.204,CARD_c8c40d2eb6a5,2143.4,2026-09-06 08:42:06,1065,0.1411
TXN_d9ac75e26543,ACC_0d95406be8c2,DEV_ccc8736250e7,37.244.195.204,CARD_c8c40d2eb6a5,2008.88,2026-09-10 08:42:06,1065,0.0226
TXN_e30005805e94,ACC_0d95406be8c2,DEV_ccc8736250e7,37.244.195.204,CARD_c8c40d2eb6a5,635.56,2026-09-14 08:42:06,1065,0.1567
TXN_4f38ffcc07b7,ACC_0d95406be8c2,DEV_ccc8736250e7,37.244.195.204,CARD_c8c40d2eb6a5,896.96,2026-09-17 08:42:06,1065,0.116
TXN_3d697a1663c7,ACC_0d95406be8c2,DEV_ccc8736250e7,37.244.195.204,CARD_c8c40d2eb6a5,803.15,2026-09-25 08:42:06,1065,0.0629
TXN_95294295e5fd,ACC_0d95406be8c2,DEV_ccc8736250e7,37.244.195.204,CARD_c8c40d2eb6a5,971.97,2026-09-28 08:42:06,1065,0.0653
TXN_294f2bba18af,ACC_cbfa619a88c8,DEV_fd03e914f3bb,124.148.41.21,CARD_f13536034321,1859.65,2026-07-19 02:08:37,1132,0.1608
TXN_3eab0a96db6b,ACC_cbfa619a88c8,DEV_fd03e914f3bb,124.148.41.21,CARD_f13536034321,2647.99,2026-07-27 02:08:37,1132,0.0903
TXN_3cf1e1156e9e,ACC_cbfa619a88c8,DEV_fd03e914f3bb,124.148.41.21,CARD_f13536034321,1387.23,2026-08-06 02:08:37,1132,0.1393
TXN_4a512dad6428,ACC_cbfa619a88c8,DEV_fd03e914f3bb,124.148.41.21,CARD_f13536034321,721.02,2026-08-12 02:08:37,1132,0.1054
TXN_14f6a72b07da,ACC_cbfa619a88c8,DEV_fd03e914f3bb,124.148.41.21,CARD_f13536034321,1071.39,2026-08-19 02:08:37,1132,0.0989
TXN_e2f835619960,ACC_cbfa619a88c8,DEV_fd03e914f3bb,124.148.41.21,CARD_f13536034321,3032.12,2026-08-28 02:08:37,1132,0.0827
TXN_dd269144f96a,ACC_cbfa619a88c8,DEV_fd03e914f3bb,124.148.41.21,CARD_f13536034321,1160.47,2026-09-05 02:08:37,1132,0.0634
TXN_60d60bd13677,ACC_cbfa619a88c8,DEV_fd03e914f3bb,124.148.41.21,CARD_f13536034321,902.93,2026-09-14 02:08:37,1132,0.0965
TXN_bf230d2ce5b7,ACC_cbfa619a88c8,DEV_fd03e914f3bb,124.148.41.21,CARD_f13536034321,950.71,2026-09-18 02:08:37,1132,0.0798
TXN_18ad5f9cdce7,ACC_cbfa619a88c8,DEV_fd03e914f3bb,124.148.41.21,CARD_f13536034321,1383.16,2026-09-22 02:08:37,1132,0.1384
TXN_611b069cb269,ACC_48ff73924a0d,DEV_9d3713623084,150.140.109.51,CARD_cfac9ae79648,648.38,2026-07-24 08:56:05,1392,0.168
TXN_c6b1aa97cd30,ACC_48ff73924a0d,DEV_9d3713623084,150.140.109.51,CARD_cfac9ae79648,791.44,2026-08-03 08:56:05,1392,0.1474
TXN_2e493738d546,ACC_48ff73924a0d,DEV_9d3713623084,150.140.109.51,CARD_cfac9ae79648,1988.25,2026-08-05 08:56:05,1392,0.1466
TXN_17cbfc20d2d2,ACC_48ff73924a0d,DEV_9d3713623084,150.140.109.51,CARD_cfac9ae79648,1357.89,2026-08-14 08:56:05,1392,0.0417
TXN_48dafa36515b,ACC_48ff73924a0d,DEV_9d3713623084,150.140.109.51,CARD_cfac9ae79648,1168.06,2026-08-22 08:56:05,1392,0.1473
TXN_63fdf1e93918,ACC_48ff73924a0d,DEV_9d3713623084,150.140.109.51,CARD_cfac9ae79648,2058.27,2026-08-31 08:56:05,1392,0.1623
TXN_0bf1f113351b,ACC_48ff73924a0d,DEV_9d3713623084,150.140.109.51,CARD_cfac9ae79648,694.83,2026-09-06 08:56:05,1392,0.0487
TXN_4d70aa3ea0b6,ACC_48ff73924a0d,DEV_9d3713623084,150.140.109.51,CARD_cfac9ae79648,886.27,2026-09-08 08:56:05,1392,0.0826
TXN_ce3485508426,ACC_48ff73924a0d,DEV_9d3713623084,150.140.109.51,CARD_cfac9ae79648,1329.39,2026-09-18 08:56:05,1392,0.0112
TXN_e3dbb8f245b5,ACC_48ff73924a0d,DEV_9d3713623084,150.140.109.51,CARD_cfac9ae79648,1299.44,2026-09-20 08:56:05,1392,0.0968
